Вот таблица с 20 пунктами, включающая виды домашних животных, породы и рекомендации по уходу на основе породы:

№	Вид животного	Порода	Рекомендация на основе породы
1	Кошка	Персидская	Ежедневное вычесывание шерсти, регулярная чистка глаз из-за склонности к слезотечению
2	Кошка	Сфинкс	Защита от холода, еженедельное купание из-за отсутствия шерсти
3	Кошка	Мейн-кун	Просторное пространство для игр, контроль веса из-за склонности к ожирению
4	Кошка	Британская короткошерстная	Регулярные игры для профилактики лени, контроль питания
5	Кошка	Сиамская	Активные игры, социализация для предотвращения стресса
6	Собака	Лабрадор	Ежедневные физические нагрузки, контроль питания из-за склонности к перееданию
7	Собака	Немецкая овчарка	Интеллектуальные тренировки, защита суставов в пожилом возрасте
8	Собака	Чихуахуа	Утепление в холодную погоду, бережное отношение к хрупким костям
9	Собака	Хаски	Долгие прогулки, прохладное место в жару из-за густой шерсти
10	Собака	Бульдог	Контроль перегрева, регулярная чистка складок кожи
11	Птица	Волнистый попугай	Ежедневное общение, разнообразный рацион с фруктами и овощами
12	Птица	Ара	Просторная клетка, игрушки для стимуляции интеллекта
13	Птица	Канарейка	Защита от сквозняков, добавление витаминов в период линьки
14	Грызун	Сирийский хомяк	Одиночное содержание, колесо для физической активности
15	Грызун	Морская свинка	Достаток витамина C в корме, регулярная подрезка зубов
16	Грызун	Шиншилла	Песочные ванны 2-3 раза в неделю, защита от влажности
17	Рептилия	Бородатая агама	УФ-лампа для обогрева, живой корм (насекомые) с добавками кальция
18	Рептилия	Красноухая черепаха	Аквариум с островком для суши, контроль чистоты воды
19	Рыба	Золотая рыбка	Просторный аквариум (от 50 л на особь), фильтрация воды
20	Экзотическое	Ежик	Ночной образ жизни, диета с насекомыми и нежирным мясом





1	Кошка	Персидская
2	Кошка	Сфинкс
3	Кошка	Мейн-кун
4	Кошка	Британская
5	Кошка	Сиамская
6	Собака	Лабрадор
7	Собака	Немецкая овчарка
8	Собака	Чихуахуа
9	Собака	Хаски
10	Собака	Бульдог
11	Птица	Волнистый попугай
12	Птица	Ара
13	Птица	Канарейка
14	Грызун	Сирийский хомяк
15	Грызун	Морская свинка
16	Грызун	Шиншилла
17	Рептилия	Бородатая агама
18	Рептилия	Красноухая черепаха
19	Рыба	Золотая рыбка
20	Экзотическое	Ежик


Таблица с 50 товарами для интернет-магазина ветеринарной клиники
№	Название корма	Порода	Вес (кг)	Возраст (лет)	Цена (руб)
1	Royal Canin Persian Adult	Персидская	1	1	1200
2	Royal Canin Persian Adult	Персидская	3	1	2500
3	Royal Canin Persian Adult	Персидская	5	1	3800
4	Royal Canin Persian Junior	Персидская	1	1	1100
5	Royal Canin Persian Junior	Персидская	3	1	2300
6	ProPlan Sphynx Sensitive	Сфинкс	1	1	1800
7	ProPlan Sphynx Sensitive	Сфинкс	3	1	3200
8	ProPlan Sphynx Adult	Сфинкс	1	2	1900
9	ProPlan Sphynx Adult	Сфинкс	3	2	3400
10	Hills Maine Coon Adult	Мейн-кун	1	1	1500
11	Hills Maine Coon Adult	Мейн-кун	3	1	2800
12	Hills Maine Coon Adult	Мейн-кун	5	1	4200
13	Hills Maine Coon Junior	Мейн-кун	1	1	1400
14	Hills Maine Coon Junior	Мейн-кун	3	1	2600
15	Brit Care British Shorthair	Британская	1	1	900
16	Brit Care British Shorthair	Британская	3	1	1700
17	Brit Care British Shorthair	Британская	5	1	2500
18	Brit Care British Adult	Британская	1	2	950
19	Brit Care British Adult	Британская	3	2	1800
20	Purina Siamese Delicate	Сиамская	1	1	1300
21	Purina Siamese Delicate	Сиамская	3	1	2400
22	Purina Siamese Adult	Сиамская	1	2	1400
23	Purina Siamese Adult	Сиамская	3	2	2600
24	Eukanuba Labrador Adult	Лабрадор	1	1	1100
25	Eukanuba Labrador Adult	Лабрадор	3	1	2100
26	Eukanuba Labrador Adult	Лабрадор	5	1	3200
27	Monge German Shepherd Special	Немецкая овчарка	1	1	1200
28	Monge German Shepherd Special	Немецкая овчарка	3	1	2300
29	Monge German Shepherd Special	Немецкая овчарка	5	1	3500
30	Royal Canin Chihuahua Adult	Чихуахуа	1	1	1500
31	Royal Canin Chihuahua Adult	Чихуахуа	3	1	2800
32	Royal Canin Chihuahua Junior	Чихуахуа	1	1	1400
33	Royal Canin Chihuahua Junior	Чихуахуа	3	1	2600
34	Acana Heritage Puppy	Хаски	1	1	1600
35	Acana Heritage Puppy	Хаски	3	1	3000
36	Acana Heritage Puppy	Хаски	5	1	4500
37	Acana Heritage Adult	Хаски	1	2	1700
38	Acana Heritage Adult	Хаски	3	2	3200
39	Acana Heritage Adult	Хаски	5	2	4800
40	Farmina Bulldog Adult	Бульдог	1	1	1300
41	Farmina Bulldog Adult	Бульдог	3	1	2500
42	Farmina Bulldog Adult	Бульдог	5	1	3800
43	Farmina Bulldog Junior	Бульдог	1	1	1200
44	Farmina Bulldog Junior	Бульдог	3	1	2300
45	Versele-Laga Prestige Parakeet	Волнистый попугай	1	1	800
46	Versele-Laga Prestige Parakeet	Волнистый попугай	3	1	1500
47	Versele-Laga Prestige Parakeet	Волнистый попугай	5	1	2200
48	Versele-Laga Prestige Parrot	Ара	1	2	1800
49	Versele-Laga Prestige Parrot	Ара	3	2	3400
50	Versele-Laga Prestige Parrot	Ара	5	2	5000
